"","date","dat$`Lufttemperatur (°C)`","dat$`Windböen (max) 10 min. (m/s)`","dat$`Windstärke Ø 10 min. (bft)`","dat$`Taupunkt (°C)`","dat$`Niederschlag (mm)`","dat$`Luftdruck QFE (hPa)`","dat$`Luftfeuchte (%)`","total","mean"
"454",2016-01-21 14:00:00,3.28333333333333,4.06666666666667,2,-2.2,0,975.033333333333,67,465695,41.0014967423842
"455",2016-01-21 15:00:00,3.1,3.88333333333333,1.5,-2.96666666666667,0,975.233333333333,64.3333333333333,578166,49.8032560944095
"456",2016-01-21 16:00:00,2.45,3.51666666666667,1.66666666666667,-3.58333333333333,0,975.516666666667,64.3333333333333,640727,47.9801557585742
"457",2016-01-21 17:00:00,1.23333333333333,4.11666666666667,1.33333333333333,-3.41666666666667,0,975.883333333333,71.1666666666667,858514,62.5465539851377
"458",2016-01-21 18:00:00,0.75,3.96666666666667,1.66666666666667,-2.73333333333333,0,976.35,77.3333333333333,726179,54.0432388181886
"459",2016-01-21 19:00:00,0.566666666666667,2.8,1,-2.73333333333333,0,976.866666666667,78.5,520999,46.1551204819277
"460",2016-01-21 20:00:00,0.333333333333333,2.61666666666667,1.33333333333333,-2.86666666666667,0,977.35,79.1666666666667,677103,69.0006114338123
"461",2016-01-21 21:00:00,-0.133333333333333,3.71666666666667,2,-2.88333333333333,0,977.9,81.5,339521,40.935736677116
"462",2016-01-21 22:00:00,-0.5,3.81666666666667,2,-3.18333333333333,0,978.3,82.1666666666667,273858,34.8242624618515
"463",2016-01-21 23:00:00,-0.583333333333333,3.4,2,-3.18333333333333,0,978.216666666667,82.8333333333333,190861,30.9939915556999
"464",2016-01-22 00:00:00,-1.03333333333333,4.48333333333333,2.16666666666667,-3.43333333333333,0,978.4,83.5,90752,19.5165591397849
"465",2016-01-22 01:00:00,-1.2,4.06666666666667,2,-3.43333333333333,0,978.433333333333,84.6666666666667,212,1.79661016949153
"466",2016-01-22 04:00:00,-1.16666666666667,3.31666666666667,1.83333333333333,-3.41666666666667,0,978.966666666667,85,2323,18.4365079365079
"467",2016-01-22 05:00:00,-1.06666666666667,2.2,1,-3.36666666666667,0,979.333333333333,84.3333333333333,124799,23.8712700841622
"468",2016-01-22 06:00:00,-0.55,2.43333333333333,1.33333333333333,-3.08333333333333,0,979.383333333333,82.6666666666667,428931,34.8639356254572
"469",2016-01-22 07:00:00,-0.1,4.46666666666667,2.16666666666667,-3.16666666666667,0,979.366666666667,79.8333333333333,588482,42.514232047392
"470",2016-01-22 08:00:00,-0.266666666666667,4.28333333333333,2,-3.56666666666667,0,979.916666666667,78.3333333333333,617285,46.5208380435602
"471",2016-01-22 09:00:00,-0.0333333333333333,3.68333333333333,2,-3.38333333333333,0,980.066666666667,78.1666666666667,367047,31.7130637636081
